#	declaration	line	qa_print_axioms	explicit_hypotheses	real_dependencies	checked_by	verdict
1	exp_sub_exp_le_exp_mul_abs_sub	68	[propext,Classical.choice,Quot.sound]	x ≤ q (no hypothesis on y)	Real.add_one_le_exp, Real.exp_le_exp, Real.exp_add	V1a (own re-derivation), V1b (y = q+5 accepted)	PASS
2	abs_exp_sub_exp_le_exp_mul_abs_sub	98	[propext,Classical.choice,Quot.sound]	x ≤ q, y ≤ q	1, abs_sub_le_iff, abs_sub_comm	V1a (own), V1c (negative q,x,y; q=0), V1d (fails without the upper bound: counterexample)	PASS
3	le_exp_self	108	[propext,Classical.choice,Quot.sound]	none	Real.add_one_le_exp	V1e (own)	PASS
4	abs_exp_dampedActivityCoreExponent_sub_le_decay_refined	130	[propext,Classical.choice,Quot.sound]	KP(hβ,mχ,hχabs,hsmall); T ∈ typedTouchingFamilies s; hsep; 0≤θ,θ'≤1	abs_dampedActivityCoreExponent_le_barrier (53-A, both exponents), dampedActivityCoreExponent_sub_eq_activityDampingConnector_sub (53-A), abs_activityDampingConnector_sub_le_eroded (53-A, truncated ℕ subtraction), 2, 3, exp_neg_nat_sub_half_le (51-D)	V2a, V2b (own re-derivation, κ=2), V2c, V2d (m_T>n; q=0), V2e	PASS — κ=2, tilt 1/2
5	abs_refinedConnectorColumnTerm_le	209	[propext,Classical.choice,Quot.sound]	KP; mf; hCf0; hCf; hT; hsep; 0≤θ,θ'≤1	abs_typedMarkedCoreWeight_le_mayerCoreMajorant (no exponential), 4, dampedPow_nonneg/le_one, halfTiltCoreBudgetTerm_eq	read (θ'^t ≤ 1; |W| ≤ Cf·ΠM)	PASS
6	sum_abs_refinedConnectorColumn_le	270	[propext,Classical.choice,Quot.sound]	KP; mf; hCf0; hCf; hsep; 0≤θ,θ'≤1	5, sum_halfTilt_two_le (CovarianceDecay wrapper of coreLocalBudget_connector = coreLocalBudget (1/2,2))	V3a (admissibility 145/226 ≤ 1; own instantiation of coreLocalBudget), V3b (3D·2/113 = 6D/113), V3c	PASS
7	abs_sum_refinedConnectorColumn_le	311	[propext,Classical.choice,Quot.sound]	same as 6	6, abs_sum_le_sum_abs	V3c	PASS
8	abs_activityDampedExpectation_sub_activityDampedExpectation_le_two_terms_refined	339	[propext,Classical.choice,Quot.sound]	KP; mf; hCf; hsep; 0≤θ,θ'≤1 (no hf; hCf0 derived)	activityDampedExpectation_sub_eq_two_column_lipschitz_ledger (53, PLUS sign), 7, abs_sum_lipschitzBridgeColumn_le (53, κ=1, 7/8), nonneg_of_abs_le_of_config (52-E), abs_add	V3c (re-derived without it), V3d (two-term ⇒ simplified)	PASS
9	abs_activityDampedExpectation_sub_activityDampedExpectation_le_local_exp_decay_refined (REFINED CAPSTONE)	370	[propext,Classical.choice,Quot.sound]	same as 8 (#check: no DependsOnlyOn; same as Stone 53 capstone)	8, Nat.cast_nonneg, Real.exp_le_exp	V0 (#check), V3c (re-derived), V3e, V4a-f, V5x (application failure)	PASS
10	refined_constant_le_published_constant	418	[propext,Classical.choice,Quot.sound]	0 ≤ Cf	Nat.cast_nonneg, Real.exp_le_exp	V4e (≤ retyped; strict for Cf>0, D>0; equality at D=0 or Cf=0; equality ⇒ Cf=0 ∨ D=0)	PASS — docstring imprecise (D1)
11	abs_activityDampedExpectation_sub_activityDampedExpectation_le_local_exp_decay_of_refined	435	[propext,Classical.choice,Quot.sound]	same as 8	9, 10	V3e (refined ⇒ 53 re-derived; 53 capstone is docstring-only — no circularity)	PASS
12	abs_activityDampedExpectation_sub_gibbsExpectation_le_refined	467	[propext,Classical.choice,Quot.sound]	KP; hf : DependsOnlyOn f s; mf; hCf; hsep; 0≤θ≤1	9 at θ'=1, activityDampedExpectation_one (52-A, needs hf), abs_sub_comm	V4b (own derivation)	PASS
13	abs_activityDampedExpectation_sub_activityRestrictedExpectation_le_refined	490	[propext,Classical.choice,Quot.sound]	KP; mf; hCf; hsep; 0≤θ≤1 (no hf)	9 at θ'=0, activityDampedExpectation_zero	V4c (own derivation)	PASS
